,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold,Show,Public Average Rating (IMDb),Number Public Votes (IMDb),IMBd title (check for validity),First Air Date,Metascore Pro Rating,Number of Professional Reviewers,Metascore Name (check for validity)
199,670454552,False,finalized,3,2/10/2015 2:03,"Hartford, Ct",1.0,25-Mar-01,1.0,White,1.0,Na,1.0,Straight,1.0,1963,1.0,Best Supporting Actor,http://www.nndb.com/people/915/000043786/,,,Sweet Bird of Youth,"Ed Begley, Sr.",,,,,Sweet Bird of Youth,7.3,7.4K,Sweet Bird of Youth,1962,None,None,Couldnt pull name
200,670454553,False,finalized,3,2/10/2015 2:16,"Macon, Ga",1.0,5-Apr-01,1.0,White,1.0,Jewish,1.0,Straight,1.0,1964,1.0,Best Supporting Actor,http://www.nndb.com/people/100/000063908/,,,Hud,Melvyn Douglas,,,,,Hud,7.8,21K,Hud,1963,62,8,Hud
201,670454554,False,finalized,3,2/10/2015 1:51,"London, England",1.0,16-Apr-21,1.0,White,1.0,Na,1.0,Straight,1.0,1965,1.0,Best Supporting Actor,http://www.nndb.com/people/810/000022744/,,,Topkapi,Peter Ustinov,,,,,Topkapi,7.0,9.3K,Topkapi,1964,None,None,Couldnt pull name
202,670454555,False,finalized,3,2/10/2015 2:03,"Bronx, Ny",1.0,4-Nov-19,1.0,White,1.0,Na,1.0,Straight,1.0,1966,1.0,Best Supporting Actor,http://www.nndb.com/people/111/000063919/,,,A Thousand Clowns,Martin Balsam,,,,,A Thousand Clowns,7.4,3.4K,A Thousand Clowns,1965,None,None,Couldnt pull name
203,670454556,False,finalized,3,2/10/2015 1:59,New York City,1.0,1-Oct-20,1.0,White,1.0,Jewish,1.0,Straight,1.0,1967,1.0,Best Supporting Actor,http://www.nndb.com/people/768/000023699/,,,The Fortune Cookie,Walter Matthau,,,,,The Fortune Cookie,7.3,14K,The Fortune Cookie,1966,63,9,The Fortune Cookie
204,670454557,False,finalized,3,2/10/2015 2:04,New York City,1.0,18-Feb-25,1.0,White,1.0,Na,1.0,Straight,1.0,1968,1.0,Best Supporting Actor,http://www.nndb.com/people/001/000022932/,,,Cool Hand Luke,George Kennedy,,,,,Cool Hand Luke,8.1,170K,Cool Hand Luke,1967,92,16,Cool Hand Luke
205,670454558,True,golden,84,,"Malden, Ma",0.9595,16-Jun-07,1.0,White,1.0,Na,1.0,Na,1.0,1969,0.9646,Best Supporting Actor,http://www.nndb.com/people/559/000049412/,,16-Jun-07,The Subject Was Roses,Jack Albertson,,,,1969.0,The Subject Was Roses,7.0,1.5K,The Subject Was Roses,1968,None,None,Couldnt pull name
206,670454559,False,finalized,3,2/10/2015 2:14,"St. Cloud, Mn",1.0,4-Nov-13,1.0,White,1.0,Na,1.0,Straight,1.0,1970,1.0,Best Supporting Actor,http://www.nndb.com/people/110/000063918/,,,"They Shoot Horses, Don't They?",Gig Young,,,,,"They Shoot Horses, Don't They?",7.9,18K,"They Shoot Horses, Don't They?",1969,None,None,Couldnt pull name
207,670454560,False,finalized,3,2/10/2015 1:48,"Felixstowe, Suffolk, England",1.0,22-Feb-08,1.0,White,1.0,Na,1.0,Straight,1.0,1971,1.0,Best Supporting Actor,http://www.nndb.com/people/701/000030611/,,,Ryan's Daughter,John Mills,,,,,Ryan's Daughter,7.4,9.4K,Ryan's Daughter,1970,None,None,Couldnt pull name
208,670454561,False,finalized,3,2/10/2015 1:56,"Shidler, Ok",1.0,13-Jun-18,1.0,White,1.0,Na,1.0,Straight,1.0,1972,1.0,Best Supporting Actor,http://www.nndb.com/people/425/000064233/,,,The Last Picture Show,Ben Johnson,,,,,The Last Picture Show,8.0,45K,The Last Picture Show,1971,93,15,The Last Picture Show
209,670454562,False,finalized,3,2/10/2015 1:52,"Cleveland, Oh",1.0,11-Apr-32,1.0,White,1.0,Jewish,1.0,Gay,1.0,1973,1.0,Best Supporting Actor,http://www.nndb.com/people/853/000048709/,,,Cabaret,Joel Grey,,,,,Cabaret,7.8,52K,Cabaret,1972,80,8,Cabaret
210,670454563,False,finalized,3,2/10/2015 2:07,"Bucharest, Romania",1.0,22-Sep-02,1.0,White,1.0,Na,1.0,Straight,0.6667,1974,1.0,Best Supporting Actor,http://www.nndb.com/people/686/000042560/,,,The Paper Chase,John Houseman,,,,,The Paper Chase,7.2,7.6K,The Paper Chase,1973,65,7,The Paper Chase
211,670454564,False,finalized,3,2/10/2015 1:53,New York City,1.0,17-Aug-43,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1975,1.0,Best Supporting Actor,http://www.nndb.com/people/765/000023696/,,,The Godfather Part II,Robert De Niro,,,,,The Godfather Part II,9.0,1.2M,The Godfather: Part II,1974,90,18,The Godfather: Part II
212,670454565,False,finalized,3,2/10/2015 1:48,New York City,1.0,20-Jan-1896,1.0,White,1.0,Jewish,1.0,Straight,1.0,1976,1.0,Best Supporting Actor,http://www.nndb.com/people/895/000022829/,,,The Sunshine Boys,George Burns,,,,,The Sunshine Boys,7.1,6K,The Sunshine Boys,1975,None,None,Couldnt pull name
